matricula_id,valor,data_pagamento,metodo_pagamento,status_pagamento
35,255.77,2025-06-27T03:15:39-03:00,Boleto,Pendente
36,495.43,2024-11-06T16:18:46-03:00,Boleto,Estornado
37,423.6,2025-08-14T00:54:25-03:00,Pix,Recusado
38,301.73,2025-01-10T02:22:06-03:00,Pix,Pendente
39,256.87,2025-08-15T20:59:12-03:00,Boleto,Aprovado
40,208.06,2025-07-24T02:57:00-03:00,Pix,Recusado
41,396.74,2025-01-18T15:13:21-03:00,Cartão de Crédito,Pendente
42,301.73,2024-11-11T02:51:09-03:00,Cartão de Crédito,Aprovado
43,255.04,2025-08-05T23:36:36-03:00,Cartão de Crédito,Aprovado
44,495.43,2025-02-22T14:31:12-03:00,Boleto,Pendente
45,371.67,2025-07-06T01:32:55-03:00,Boleto,Estornado
46,208.06,2024-11-27T05:32:31-03:00,Cartão de Crédito,Aprovado
47,303.0,2025-07-12T06:54:34-03:00,Boleto,Recusado
48,271.52,2025-04-17T05:28:22-03:00,Pix,Pendente
49,256.87,2025-03-23T06:30:12-03:00,Cartão de Crédito,Pendente
50,371.67,2025-07-18T00:28:28-03:00,Cartão de Crédito,Aprovado
51,404.73,2025-05-12T06:42:18-03:00,Boleto,Estornado
52,208.06,2025-07-28T12:56:25-03:00,Cartão de Crédito,Pendente
53,473.97,2025-10-09T03:37:48-03:00,Pix,Aprovado
54,437.04,2025-06-13T01:23:10-03:00,Cartão de Crédito,Aprovado
55,84.21,2025-05-30T16:20:53-03:00,Cartão de Crédito,Estornado
56,381.25,2025-05-25T03:02:55-03:00,Pix,Pendente
57,329.66,2025-03-07T17:13:21-03:00,Boleto,Recusado
58,301.73,2025-06-13T17:03:54-03:00,Cartão de Crédito,Estornado
59,256.95,2025-06-16T19:09:26-03:00,Cartão de Crédito,Aprovado
60,72.21,2025-04-10T06:15:54-03:00,Pix,Recusado
61,495.43,2025-06-28T23:35:30-03:00,Boleto,Recusado
62,495.43,2025-06-13T01:46:31-03:00,Boleto,Recusado
63,381.25,2025-08-18T08:21:01-03:00,Cartão de Crédito,Recusado
64,145.5,2025-03-08T12:53:00-03:00,Cartão de Crédito,Pendente
65,255.77,2025-04-08T06:06:36-03:00,Pix,Pendente
66,72.21,2025-03-24T08:57:53-03:00,Cartão de Crédito,Estornado
67,317.32,2024-11-06T07:05:51-03:00,Cartão de Crédito,Recusado
68,255.77,2025-05-20T03:16:39-03:00,Cartão de Crédito,Aprovado
69,421.48,2025-06-08T12:17:44-03:00,Boleto,Pendente
70,118.61,2025-06-07T21:45:57-03:00,Boleto,Pendente
71,370.14,2025-08-21T18:34:35-03:00,Boleto,Aprovado
72,298.51,2024-12-09T20:22:12-03:00,Pix,Recusado
73,51.05,2024-10-31T20:31:01-03:00,Boleto,Estornado
74,403.16,2025-02-06T21:38:31-03:00,Cartão de Crédito,Recusado
75,303.0,2025-04-25T21:47:10-03:00,Boleto,Aprovado
76,256.87,2025-03-23T11:51:16-03:00,Cartão de Crédito,Recusado
77,271.52,2025-09-12T22:23:17-03:00,Pix,Aprovado
78,495.43,2025-09-15T05:45:53-03:00,Cartão de Crédito,Estornado
79,329.66,2025-07-18T14:20:07-03:00,Cartão de Crédito,Aprovado
80,221.35,2025-08-03T18:44:39-03:00,Cartão de Crédito,Estornado
81,227.97,2025-02-04T22:56:26-03:00,Cartão de Crédito,Aprovado
82,301.73,2025-03-09T17:16:44-03:00,Boleto,Recusado
83,303.0,2025-09-12T22:38:55-03:00,Pix,Estornado
84,303.0,2024-11-05T08:42:39-03:00,Pix,Aprovado
85,96.69,2024-12-27T04:16:00-03:00,Boleto,Estornado
86,88.91,2024-11-18T09:37:29-03:00,Cartão de Crédito,Estornado
87,118.61,2025-09-06T22:19:13-03:00,Boleto,Recusado
88,370.14,2024-10-28T11:52:45-03:00,Pix,Pendente
89,193.78,2025-07-18T03:05:17-03:00,Cartão de Crédito,Recusado
90,396.1,2024-11-23T19:57:26-03:00,Boleto,Estornado
91,255.77,2025-04-06T00:20:08-03:00,Boleto,Estornado
92,370.14,2025-09-04T20:52:43-03:00,Cartão de Crédito,Estornado
93,329.66,2024-10-19T09:40:26-03:00,Pix,Recusado
94,271.52,2024-11-29T15:19:41-03:00,Cartão de Crédito,Estornado
95,256.87,2025-03-11T12:43:11-03:00,Pix,Aprovado
96,255.04,2024-12-18T16:52:18-03:00,Cartão de Crédito,Estornado
97,495.43,2024-11-15T01:31:16-03:00,Cartão de Crédito,Estornado
98,256.87,2025-04-17T02:14:14-03:00,Boleto,Pendente
99,329.66,2024-11-13T21:19:00-03:00,Cartão de Crédito,Pendente
100,221.83,2025-08-01T06:35:03-03:00,Boleto,Estornado
101,403.16,2025-03-19T10:00:34-03:00,Boleto,Pendente
102,492.23,2025-06-25T22:36:48-03:00,Boleto,Recusado
103,282.92,2025-04-06T12:38:45-03:00,Boleto,Pendente
104,193.78,2024-11-10T14:23:22-03:00,Boleto,Recusado
105,403.16,2025-01-08T08:14:27-03:00,Pix,Aprovado
106,227.97,2025-09-16T09:13:30-03:00,Pix,Aprovado
107,370.14,2025-01-12T11:34:09-03:00,Pix,Aprovado
108,404.73,2025-04-29T18:43:31-03:00,Pix,Aprovado
109,403.16,2025-08-22T09:27:10-03:00,Cartão de Crédito,Aprovado
110,53.41,2025-01-09T01:39:10-03:00,Boleto,Pendente
111,350.57,2025-06-20T05:30:03-03:00,Pix,Estornado
112,301.73,2025-03-02T11:52:50-03:00,Boleto,Aprovado
113,437.04,2025-06-09T00:32:42-03:00,Pix,Aprovado
114,473.97,2025-09-04T18:21:55-03:00,Boleto,Recusado
115,145.5,2024-10-30T21:06:37-03:00,Cartão de Crédito,Pendente
116,396.74,2025-04-29T19:56:04-03:00,Cartão de Crédito,Aprovado
117,423.6,2025-06-02T08:51:30-03:00,Pix,Aprovado
118,122.62,2025-06-20T18:57:19-03:00,Boleto,Aprovado
119,473.97,2024-12-10T08:11:56-03:00,Cartão de Crédito,Aprovado
120,271.52,2025-05-12T18:47:11-03:00,Pix,Aprovado
121,118.61,2025-08-23T04:28:12-03:00,Boleto,Estornado
122,448.12,2025-06-14T02:07:40-03:00,Pix,Aprovado
123,84.62,2025-01-18T01:20:05-03:00,Pix,Recusado
124,96.69,2025-02-21T11:18:36-03:00,Pix,Recusado
125,255.77,2025-06-12T21:32:27-03:00,Cartão de Crédito,Recusado
126,492.23,2024-10-20T23:26:17-03:00,Pix,Pendente
127,118.61,2025-07-05T01:04:41-03:00,Boleto,Aprovado
128,371.67,2025-04-10T20:49:11-03:00,Cartão de Crédito,Aprovado
129,495.43,2024-12-12T17:42:11-03:00,Cartão de Crédito,Estornado
130,255.77,2025-05-09T09:36:23-03:00,Pix,Aprovado
131,396.1,2025-08-24T02:43:02-03:00,Cartão de Crédito,Estornado
132,437.04,2025-01-21T23:21:05-03:00,Boleto,Aprovado
133,371.67,2025-09-26T23:27:16-03:00,Boleto,Estornado
134,317.32,2024-11-28T23:34:24-03:00,Cartão de Crédito,Aprovado
135,426.55,2025-10-04T12:00:37-03:00,Boleto,Aprovado
136,346.59,2024-10-28T16:06:49-03:00,Cartão de Crédito,Pendente
137,88.91,2024-11-03T14:46:00-03:00,Cartão de Crédito,Recusado
138,208.06,2025-09-14T03:05:00-03:00,Boleto,Recusado
139,370.14,2025-06-19T23:55:51-03:00,Boleto,Pendente
140,303.0,2025-09-07T15:13:03-03:00,Pix,Recusado
141,75.26,2025-08-30T13:50:29-03:00,Pix,Estornado
142,421.48,2024-12-24T10:42:23-03:00,Cartão de Crédito,Pendente
143,298.51,2025-08-06T07:45:08-03:00,Cartão de Crédito,Pendente
144,88.91,2025-08-31T01:38:45-03:00,Pix,Recusado
145,51.05,2025-06-09T23:21:16-03:00,Pix,Aprovado
146,145.5,2024-11-08T02:33:30-03:00,Boleto,Pendente
147,493.73,2025-04-25T17:16:16-03:00,Cartão de Crédito,Estornado
148,448.12,2024-11-17T19:34:45-03:00,Boleto,Recusado
149,240.07,2024-11-19T13:37:49-03:00,Cartão de Crédito,Pendente
150,426.55,2025-07-10T12:25:29-03:00,Boleto,Recusado
151,493.73,2025-06-12T07:52:09-03:00,Boleto,Aprovado
152,88.91,2025-07-09T12:59:58-03:00,Boleto,Pendente
153,72.21,2025-03-24T12:47:43-03:00,Pix,Estornado
154,255.77,2025-04-10T03:51:30-03:00,Pix,Aprovado
155,208.06,2024-12-02T12:47:38-03:00,Cartão de Crédito,Pendente
156,421.48,2024-11-07T09:45:48-03:00,Boleto,Estornado
157,118.61,2024-11-10T11:17:13-03:00,Boleto,Aprovado
158,75.26,2025-08-19T06:43:55-03:00,Pix,Recusado
159,421.48,2025-09-19T10:35:47-03:00,Cartão de Crédito,Aprovado
160,421.48,2025-05-22T23:15:13-03:00,Pix,Estornado
161,282.92,2025-01-15T10:14:58-03:00,Boleto,Recusado
162,221.83,2025-07-07T01:26:53-03:00,Pix,Recusado
163,437.04,2025-08-03T15:11:06-03:00,Cartão de Crédito,Estornado
164,271.52,2025-01-25T07:07:10-03:00,Cartão de Crédito,Pendente
165,118.61,2025-08-25T09:56:45-03:00,Cartão de Crédito,Estornado
166,350.57,2025-06-16T05:56:07-03:00,Pix,Aprovado
167,396.1,2025-09-26T06:51:03-03:00,Cartão de Crédito,Pendente
168,396.1,2025-01-28T04:36:50-03:00,Pix,Recusado
169,473.97,2025-05-20T03:47:07-03:00,Cartão de Crédito,Pendente
170,329.66,2025-06-20T01:33:37-03:00,Pix,Recusado
171,255.77,2024-12-04T21:54:56-03:00,Boleto,Recusado
172,495.43,2025-01-03T12:08:27-03:00,Pix,Pendente
173,426.55,2025-03-17T22:14:59-03:00,Cartão de Crédito,Aprovado
174,495.43,2025-06-28T22:25:57-03:00,Boleto,Aprovado
175,84.21,2025-03-06T14:39:19-03:00,Pix,Estornado
176,216.28,2025-04-28T12:18:47-03:00,Pix,Aprovado
177,271.52,2024-10-25T11:00:08-03:00,Boleto,Aprovado
178,84.62,2025-02-03T16:11:19-03:00,Pix,Aprovado
179,396.1,2025-02-20T22:08:00-03:00,Boleto,Recusado
180,221.35,2024-12-20T19:36:23-03:00,Cartão de Crédito,Recusado
181,118.61,2025-10-07T07:42:31-03:00,Pix,Estornado
182,198.6,2025-08-06T17:46:19-03:00,Pix,Estornado
183,255.04,2025-09-21T05:39:38-03:00,Boleto,Recusado
184,396.1,2025-03-14T02:21:27-03:00,Boleto,Recusado
185,493.73,2024-12-24T07:17:55-03:00,Pix,Aprovado
186,448.12,2025-08-17T19:41:21-03:00,Boleto,Pendente
187,145.5,2025-06-11T18:52:18-03:00,Cartão de Crédito,Estornado
188,282.92,2025-05-11T04:00:54-03:00,Boleto,Recusado
189,255.77,2024-11-21T01:54:02-03:00,Cartão de Crédito,Estornado
190,381.25,2025-06-10T17:10:06-03:00,Pix,Aprovado
191,53.41,2024-11-28T04:13:55-03:00,Boleto,Estornado
192,404.73,2025-08-06T15:42:15-03:00,Cartão de Crédito,Estornado
193,84.21,2025-05-04T19:09:09-03:00,Boleto,Pendente
194,51.05,2025-08-06T06:21:42-03:00,Boleto,Estornado
195,448.12,2025-01-21T09:22:19-03:00,Cartão de Crédito,Estornado
196,437.04,2025-07-24T23:05:29-03:00,Cartão de Crédito,Aprovado
197,381.25,2025-07-12T18:57:49-03:00,Boleto,Aprovado
198,492.23,2025-03-06T16:12:39-03:00,Pix,Estornado
199,396.1,2025-09-20T20:29:21-03:00,Boleto,Pendente
200,271.52,2025-07-04T08:31:24-03:00,Boleto,Aprovado
