modulo_id,titulo,ordem,duracao_minutos,tipo
6,Aula 8: Neque non dolorem libero natus,8,29,quiz
6,Aula 9: Quia quae repudiandae corporis sunt,9,39,quiz
6,Aula 10: Repellendus occaecati consectetur sed,10,30,quiz
6,Aula 11: Illum quas consequatur excepturi,11,25,video
6,Aula 12: Quidem perspiciatis earum aut,12,28,texto
6,Aula 13: Itaque dolores minima,13,37,video
7,Aula 1: Reprehenderit eveniet fugit,1,9,quiz
7,Aula 2: Nulla laboriosam blanditiis distinctio,2,6,video
7,Aula 3: Incidunt accusantium consequuntur,3,24,quiz
7,Aula 4: Fuga adipisci in,4,38,texto
7,Aula 5: Placeat autem expedita accusantium molestias a,5,9,quiz
7,Aula 6: Vitae consequatur facere,6,9,video
7,Aula 7: Repellendus quo aspernatur atque suscipit quo,7,23,quiz
7,Aula 8: Eveniet soluta culpa molestiae earum provident,8,22,video
7,Aula 9: Odit deleniti nesciunt esse voluptatem,9,30,video
8,Aula 1: Adipisci dolore nihil labore quo,1,6,video
8,Aula 2: Maiores dolores quis expedita libero,2,14,video
8,Aula 3: Voluptatibus ad dolores,3,13,video
8,Aula 4: Delectus atque fuga,4,13,quiz
8,Aula 5: Facere animi deserunt nihil culpa sint,5,18,video
8,Aula 6: Nihil rerum quia,6,15,quiz
8,Aula 7: Neque nam iste labore cum soluta,7,42,texto
8,Aula 8: Maxime vero laboriosam aut reiciendis,8,17,quiz
8,Aula 9: Fugit nemo saepe totam,9,34,quiz
8,Aula 10: Ab pariatur possimus recusandae,10,40,video
8,Aula 11: Esse minima cumque dolore,11,11,quiz
8,Aula 12: Illo a explicabo,12,45,video
8,Aula 13: Adipisci alias quasi non fuga,13,19,texto
8,Aula 14: Facilis rerum illum nostrum illum,14,40,quiz
9,Aula 1: Exercitationem ullam ipsum,1,21,video
9,Aula 2: Totam adipisci deleniti sit saepe aliquam,2,6,quiz
9,Aula 3: Necessitatibus dicta voluptatem delectus fugit magni,3,39,texto
9,Aula 4: Cupiditate nulla at officia ipsa magnam,4,45,texto
9,Aula 5: Vel hic accusamus,5,6,quiz
9,Aula 6: Repellat saepe doloremque,6,43,texto
9,Aula 7: Praesentium natus pariatur deserunt facilis,7,39,video
10,Aula 1: Eveniet consequatur exercitationem itaque mollitia explicabo,1,40,video
10,Aula 2: Fugiat mollitia mollitia sint praesentium quae,2,27,texto
10,Aula 3: Culpa velit molestiae ipsa,3,23,texto
10,Aula 4: Beatae recusandae sunt nesciunt dolorem voluptatum excepturi,4,43,video
10,Aula 5: Quibusdam fugit iure perspiciatis dignissimos,5,23,texto
10,Aula 6: Modi quo nobis,6,24,quiz
10,Aula 7: Dolorum soluta veritatis recusandae optio quasi,7,8,video
10,Aula 8: Minus quis nisi,8,16,video
10,Aula 9: Reiciendis assumenda culpa quod,9,23,texto
11,Aula 1: Incidunt laudantium asperiores aperiam voluptatem est,1,35,texto
11,Aula 2: In expedita beatae commodi et blanditiis,2,45,texto
11,Aula 3: Neque facilis pariatur incidunt,3,18,texto
11,Aula 4: Voluptates nesciunt ducimus ipsam,4,37,video
11,Aula 5: Voluptatem exercitationem odit,5,11,quiz
11,Aula 6: Nemo numquam placeat necessitatibus incidunt eum,6,27,video
11,Aula 7: Vero asperiores sit,7,7,texto
11,Aula 8: Accusantium laboriosam corporis ex blanditiis,8,27,texto
11,Aula 9: Fugit dolor delectus quod,9,15,quiz
12,Aula 1: Corrupti unde provident ipsa autem,1,36,texto
12,Aula 2: Perspiciatis labore accusantium,2,43,quiz
12,Aula 3: Voluptas vero eligendi officiis facilis sapiente,3,11,video
12,Aula 4: Exercitationem minima deleniti nostrum,4,38,quiz
12,Aula 5: Soluta autem sed et,5,7,video
12,Aula 6: Voluptas in eligendi accusantium,6,19,texto
12,Aula 7: Facilis aliquam ipsam perferendis,7,17,texto
13,Aula 1: Dignissimos iste rerum beatae consequatur ad quisquam,1,10,video
13,Aula 2: Eveniet nostrum sint alias facilis,2,15,video
13,Aula 3: Quaerat accusantium aut aspernatur excepturi repudiandae,3,44,quiz
13,Aula 4: Suscipit error perferendis doloribus,4,5,quiz
13,Aula 5: Sit repellat tempora,5,35,texto
14,Aula 1: Consequuntur numquam a ducimus minima odio,1,36,texto
14,Aula 2: Eaque impedit repudiandae,2,39,quiz
14,Aula 3: Voluptate accusantium est consectetur,3,32,quiz
14,Aula 4: Qui illum cumque expedita impedit,4,21,quiz
14,Aula 5: Voluptatum animi commodi nobis voluptates eos,5,24,quiz
14,Aula 6: Voluptates maiores tempora numquam sit,6,17,texto
14,Aula 7: Sapiente quas architecto aliquid,7,30,quiz
14,Aula 8: Ea minus ab totam odit,8,9,quiz
14,Aula 9: Maxime non adipisci saepe amet dolore,9,44,quiz
14,Aula 10: Nisi voluptate qui natus ad,10,43,video
15,Aula 1: Illum harum veniam id amet,1,15,texto
15,Aula 2: Perferendis commodi deleniti autem ea,2,7,texto
15,Aula 3: Sint ullam vero,3,22,video
15,Aula 4: Itaque dicta ducimus exercitationem nemo,4,28,quiz
15,Aula 5: Quo quos commodi natus,5,26,video
15,Aula 6: In voluptatibus vel reprehenderit dolor aperiam,6,21,quiz
16,Aula 1: Cumque nulla tempora culpa dicta veritatis,1,22,quiz
16,Aula 2: Reprehenderit officia facere quia illum,2,37,video
16,Aula 3: Perspiciatis facilis soluta facere,3,33,quiz
16,Aula 4: Odio cupiditate iure,4,19,video
16,Aula 5: Dicta asperiores repellat consequatur impedit,5,33,video
16,Aula 6: Eveniet earum veniam,6,24,video
16,Aula 7: A consequatur ut,7,17,video
16,Aula 8: Fuga dignissimos voluptatum fugiat beatae voluptate,8,21,texto
16,Aula 9: Iusto accusantium excepturi,9,38,texto
16,Aula 10: Accusamus numquam repellendus iste,10,41,texto
16,Aula 11: Repudiandae voluptate laborum tempore quos,11,41,quiz
17,Aula 1: Temporibus vitae officiis doloremque,1,7,video
17,Aula 2: Eligendi maxime dicta placeat,2,28,texto
17,Aula 3: Culpa modi numquam maxime quaerat sit,3,9,texto
17,Aula 4: Deleniti perferendis occaecati rerum quo,4,33,texto
17,Aula 5: Vero quis quia,5,35,video
17,Aula 6: Quia dignissimos quod,6,17,texto
17,Aula 7: Placeat repellat aliquam doloribus possimus,7,13,video
18,Aula 1: Saepe recusandae veritatis vitae,1,17,texto
18,Aula 2: Ex corrupti veniam ea totam,2,33,texto
18,Aula 3: Magni suscipit voluptatem,3,21,video
18,Aula 4: Dolorum ea debitis eveniet,4,12,texto
18,Aula 5: Perspiciatis sapiente beatae natus,5,33,quiz
18,Aula 6: Quas aliquam dolorum sapiente eaque odio,6,17,texto
19,Aula 1: Inventore accusantium blanditiis,1,7,texto
19,Aula 2: Exercitationem quas consequuntur,2,32,texto
19,Aula 3: Officiis quam error culpa aliquid,3,27,texto
19,Aula 4: Illo repellat qui veniam minima,4,21,texto
19,Aula 5: Numquam voluptas possimus,5,11,video
19,Aula 6: Voluptate iste at maxime vel rem,6,11,texto
19,Aula 7: Doloribus totam ea veniam deleniti,7,16,texto
19,Aula 8: Libero a perferendis possimus ab,8,31,texto
19,Aula 9: Magnam distinctio iste a facere,9,42,quiz
19,Aula 10: Provident laborum nobis ipsum hic iusto,10,13,video
20,Aula 1: Explicabo corrupti fugiat,1,44,quiz
20,Aula 2: Inventore reprehenderit facere,2,8,quiz
20,Aula 3: Officiis excepturi cupiditate iure fugiat,3,25,texto
20,Aula 4: Architecto odit odit,4,8,video
20,Aula 5: Voluptate autem perferendis nesciunt,5,27,texto
20,Aula 6: Quis excepturi possimus occaecati ea vero,6,21,quiz
21,Aula 1: Adipisci voluptates corporis unde perferendis,1,37,video
21,Aula 2: Repudiandae voluptate natus ut,2,29,quiz
21,Aula 3: Animi repellat doloremque ad velit,3,31,video
21,Aula 4: Quibusdam asperiores doloribus omnis vel minus,4,42,video
21,Aula 5: Qui minima voluptatem eligendi maxime,5,19,video
21,Aula 6: At error sapiente quidem assumenda atque,6,35,quiz
21,Aula 7: Inventore doloremque dolore accusantium,7,24,video
21,Aula 8: Labore dolore at,8,9,quiz
21,Aula 9: Corporis neque ullam nobis,9,33,texto
21,Aula 10: Ut reiciendis dolores,10,11,video
22,Aula 1: Eius voluptatibus aliquam dolores quam earum,1,44,quiz
22,Aula 2: Voluptate nostrum ullam,2,6,quiz
22,Aula 3: Quae odio nihil praesentium,3,20,texto
22,Aula 4: Officiis enim tempore,4,42,quiz
22,Aula 5: Architecto consectetur quam alias numquam voluptatibus,5,36,quiz
23,Aula 1: Eveniet aliquid reprehenderit ducimus,1,9,texto
23,Aula 2: Mollitia necessitatibus labore,2,45,quiz
23,Aula 3: Commodi cupiditate atque facere,3,45,quiz
23,Aula 4: Assumenda dolore pariatur rem qui,4,15,quiz
23,Aula 5: Sed autem quos molestiae quis modi,5,34,texto
23,Aula 6: Cupiditate molestias eveniet dolore velit sapiente,6,12,video
23,Aula 7: Unde ab asperiores incidunt voluptates corrupti,7,45,quiz
23,Aula 8: Facere praesentium illum culpa,8,13,texto
23,Aula 9: Earum quo eligendi consequuntur mollitia explicabo,9,41,video
23,Aula 10: Atque ipsum voluptates consequatur harum recusandae,10,43,video
24,Aula 1: Iusto animi sequi odio incidunt,1,38,quiz
24,Aula 2: Officia amet minus repellat expedita,2,33,texto
24,Aula 3: Ea esse sed eos,3,34,texto
24,Aula 4: Dolor consequatur deserunt doloremque repellat,4,22,texto
24,Aula 5: Repellat vel voluptate perferendis,5,16,quiz
24,Aula 6: Culpa aliquid fugiat,6,9,texto
24,Aula 7: Vel iure explicabo rerum incidunt totam,7,20,video
24,Aula 8: Ea velit repudiandae laboriosam,8,15,quiz
24,Aula 9: Temporibus nobis deserunt natus magni,9,6,video
24,Aula 10: Sequi reprehenderit vitae repudiandae,10,7,video
24,Aula 11: Nobis consequatur numquam,11,21,texto
24,Aula 12: Quidem laudantium amet dignissimos ullam,12,12,texto
24,Aula 13: Nihil dolores earum sunt in quam,13,18,texto
24,Aula 14: Modi rerum suscipit minus,14,15,texto
25,Aula 1: Placeat quasi eligendi,1,13,video
25,Aula 2: Quasi similique officiis voluptatum asperiores,2,8,texto
25,Aula 3: Odio dolor quaerat modi,3,41,quiz
25,Aula 4: Exercitationem libero corrupti tenetur,4,15,quiz
25,Aula 5: Ab deleniti odit nesciunt ullam veniam dolorem,5,12,quiz
25,Aula 6: Ullam sunt sed quidem impedit,6,27,video
26,Aula 1: Numquam asperiores voluptatem culpa velit,1,19,quiz
26,Aula 2: Veniam exercitationem voluptates eveniet odio nisi,2,42,texto
26,Aula 3: Repellendus odit doloribus rerum tempora vitae,3,30,quiz
26,Aula 4: Nihil labore ipsa quos odit illum,4,28,texto
26,Aula 5: Quia dicta quae maiores dolor sapiente,5,43,quiz
26,Aula 6: Molestias a ratione minus,6,45,texto
27,Aula 1: Expedita aspernatur ut quas,1,15,texto
27,Aula 2: Adipisci fuga cupiditate delectus aperiam,2,31,video
27,Aula 3: Mollitia deleniti molestias atque facere impedit,3,17,video
27,Aula 4: Libero tenetur deserunt quae maiores consequuntur,4,28,video
27,Aula 5: Expedita laudantium eius sit,5,27,texto
27,Aula 6: Quia nisi consectetur molestias,6,20,quiz
28,Aula 1: Vel ipsam eius amet,1,20,quiz
28,Aula 2: Quidem sequi repudiandae sit cupiditate,2,33,video
28,Aula 3: Quaerat amet eum,3,15,video
28,Aula 4: Deserunt rerum aperiam,4,27,video
28,Aula 5: Minima necessitatibus iste architecto ut,5,39,quiz
28,Aula 6: Labore doloribus temporibus,6,32,quiz
28,Aula 7: Cumque fugiat ab aliquid totam,7,27,quiz
28,Aula 8: Tempore accusantium ipsa eum quisquam,8,21,video
28,Aula 9: Corporis reprehenderit eligendi maiores,9,38,video
28,Aula 10: Quam nostrum ab nemo adipisci ad,10,13,quiz
29,Aula 1: Porro natus maiores eum porro eum,1,35,texto
29,Aula 2: Fugit omnis dicta voluptate,2,12,texto
29,Aula 3: Ducimus ipsum totam,3,38,video
29,Aula 4: Blanditiis pariatur deserunt molestiae nobis,4,43,quiz
29,Aula 5: Accusantium fugiat iusto tempora,5,13,quiz
29,Aula 6: Corporis sed tempore nam iusto quisquam,6,26,quiz
29,Aula 7: Temporibus laudantium sed provident aspernatur natus,7,38,texto
29,Aula 8: Numquam non enim iste culpa labore,8,38,texto
30,Aula 1: Deserunt distinctio ducimus,1,30,quiz
30,Aula 2: Minima esse eius illo cum velit,2,17,quiz
30,Aula 3: Enim quibusdam tempore officia,3,24,texto
30,Aula 4: Modi ducimus voluptatibus atque nam,4,39,texto
30,Aula 5: Similique amet deserunt aspernatur vitae ab,5,43,texto
30,Aula 6: Nostrum est perspiciatis,6,40,texto
30,Aula 7: Porro nulla labore nisi,7,36,video
30,Aula 8: Illum animi dolorum,8,36,quiz
30,Aula 9: Cumque ullam libero,9,17,texto
30,Aula 10: Qui cumque possimus iusto repudiandae eveniet,10,5,texto
30,Aula 11: Nisi similique autem aspernatur,11,45,texto
30,Aula 12: Fuga possimus earum tempore,12,30,quiz
30,Aula 13: Impedit in quidem similique,13,7,texto
30,Aula 14: Sed totam animi qui voluptates,14,21,video
30,Aula 15: Non ipsa totam,15,7,video
31,Aula 1: Sint a corrupti atque,1,45,quiz
31,Aula 2: Voluptates laborum fuga fugit fugit aperiam,2,6,quiz
31,Aula 3: Impedit amet quod animi eveniet ad,3,24,quiz
31,Aula 4: Quisquam ex iste ducimus voluptate hic,4,43,texto
31,Aula 5: Ducimus saepe necessitatibus modi ea aut,5,9,video
31,Aula 6: Ratione iusto nulla voluptate,6,12,video
31,Aula 7: Dolorum animi placeat architecto placeat,7,40,texto
31,Aula 8: Odio unde distinctio eius soluta sapiente,8,26,video
32,Aula 1: Fuga quaerat quaerat deleniti molestiae earum,1,21,video
32,Aula 2: Reprehenderit aliquam maiores sequi facere dolore sed,2,15,quiz
32,Aula 3: Nostrum error adipisci,3,6,quiz
32,Aula 4: Sapiente molestias a in numquam ad,4,29,texto
32,Aula 5: Architecto expedita rem eos fugit,5,15,video
32,Aula 6: Quod fugiat sit,6,41,video
32,Aula 7: Numquam dolorum debitis,7,38,quiz
32,Aula 8: Voluptas eos itaque,8,29,texto
32,Aula 9: Corporis quidem explicabo ratione quam dolor,9,30,quiz
32,Aula 10: Unde tenetur inventore provident voluptatem,10,29,texto
32,Aula 11: Magni odit maiores repudiandae atque deleniti,11,6,video
32,Aula 12: Dolorem dolores consequuntur natus eligendi,12,23,video
32,Aula 13: Cumque mollitia incidunt aut suscipit,13,28,quiz
32,Aula 14: At reiciendis ratione vel,14,45,video
32,Aula 15: Culpa reprehenderit id vero,15,43,texto
33,Aula 1: Nihil ipsum consequuntur pariatur,1,33,texto
33,Aula 2: Culpa ab minima,2,6,video
33,Aula 3: Qui reiciendis voluptas enim iste occaecati,3,8,quiz
33,Aula 4: Excepturi quos voluptatibus sapiente,4,20,texto
33,Aula 5: Eos ipsam exercitationem cumque praesentium labore,5,26,quiz
33,Aula 6: Omnis quis maiores fuga,6,26,quiz
33,Aula 7: Cupiditate eum ipsam,7,26,quiz
33,Aula 8: Cum nemo sit veritatis,8,9,video
33,Aula 9: Minima blanditiis blanditiis velit,9,29,texto
33,Aula 10: Adipisci dicta aliquid,10,14,quiz
33,Aula 11: Quas non repellendus perspiciatis,11,40,video
33,Aula 12: Ipsum incidunt corrupti incidunt accusantium amet,12,30,video
33,Aula 13: Repudiandae eius commodi repellendus autem,13,5,video
33,Aula 14: Temporibus molestias eius,14,21,quiz
34,Aula 1: Quis beatae cumque,1,15,video
34,Aula 2: Quis veritatis autem corrupti saepe ducimus,2,9,texto
34,Aula 3: Temporibus aspernatur impedit laboriosam itaque,3,12,video
34,Aula 4: Magnam numquam repellendus velit fugiat,4,31,quiz
34,Aula 5: Ullam mollitia sapiente,5,8,texto
35,Aula 1: Molestiae veritatis officiis aperiam totam accusamus,1,33,video
35,Aula 2: Deserunt vel nisi sit deleniti,2,44,texto
35,Aula 3: Quam explicabo quae,3,7,video
35,Aula 4: Distinctio odio minima,4,9,texto
35,Aula 5: Atque commodi beatae deserunt reprehenderit,5,39,video
35,Aula 6: Deleniti tempora quia nesciunt ipsam,6,40,video
35,Aula 7: Doloremque nesciunt repellat,7,17,texto
35,Aula 8: Debitis numquam cum nam,8,14,video
35,Aula 9: Id alias ea veritatis,9,13,quiz
35,Aula 10: Asperiores ut temporibus molestiae quasi sequi,10,23,quiz
36,Aula 1: Ipsa earum maxime,1,27,texto
36,Aula 2: Sed quidem consectetur,2,26,quiz
36,Aula 3: Ipsam magnam doloribus necessitatibus iusto occaecati,3,20,quiz
36,Aula 4: Necessitatibus quas quidem aspernatur totam id,4,44,video
36,Aula 5: Rerum numquam ipsa,5,39,texto
36,Aula 6: At ipsam fugit accusamus totam,6,12,quiz
36,Aula 7: Sit quo corporis,7,16,quiz
36,Aula 8: Tenetur cum rerum aut aliquid,8,7,quiz
36,Aula 9: Est non voluptatum alias iusto,9,10,video
36,Aula 10: Repudiandae tenetur cum commodi,10,19,video
36,Aula 11: Suscipit beatae autem cumque veritatis excepturi,11,41,texto
36,Aula 12: Molestiae in fuga soluta nobis,12,17,texto
36,Aula 13: Optio et occaecati ab tempore,13,42,texto
36,Aula 14: Maxime deserunt rerum magni fugiat sit,14,33,texto
36,Aula 15: Dolore eius minus omnis quae incidunt,15,9,texto
37,Aula 1: Cupiditate vel sint est iure,1,37,video
37,Aula 2: Consectetur dolor voluptate,2,39,texto
37,Aula 3: Natus cum nemo veritatis laboriosam,3,13,quiz
37,Aula 4: Quas optio distinctio soluta,4,28,video
37,Aula 5: Error corrupti nulla blanditiis mollitia,5,12,quiz
37,Aula 6: Hic omnis laboriosam laudantium,6,12,video
37,Aula 7: In inventore quas,7,21,quiz
37,Aula 8: Non possimus necessitatibus incidunt maxime,8,14,video
38,Aula 1: Odit ea velit,1,11,video
38,Aula 2: Similique modi eius,2,26,quiz
38,Aula 3: Qui labore vel,3,14,texto
38,Aula 4: At labore natus voluptatibus suscipit,4,11,video
38,Aula 5: Officia voluptates aperiam consequuntur delectus ex,5,25,texto
38,Aula 6: Harum ipsum blanditiis expedita,6,33,quiz
38,Aula 7: Iusto quia placeat recusandae,7,16,video
39,Aula 1: Ex dolores amet nulla sint nesciunt,1,41,texto
39,Aula 2: Odit fugit eveniet voluptatem laboriosam aliquam,2,17,texto
39,Aula 3: Quam laudantium laborum,3,27,video
39,Aula 4: Quia molestiae quam,4,32,texto
39,Aula 5: Saepe illum dolorem,5,38,texto
39,Aula 6: Cupiditate sit voluptatum,6,31,texto
39,Aula 7: Esse soluta possimus officiis,7,5,texto
39,Aula 8: Aperiam vitae enim corrupti placeat,8,24,texto
39,Aula 9: Voluptatibus culpa consequatur quas dolor sunt,9,28,texto
39,Aula 10: Sit iure architecto praesentium eveniet,10,16,texto
39,Aula 11: Delectus quisquam omnis a voluptatum suscipit,11,18,texto
39,Aula 12: Quas animi ab,12,29,texto
39,Aula 13: Reiciendis omnis temporibus ex dolore,13,34,quiz
40,Aula 1: Placeat incidunt quos quas,1,26,texto
40,Aula 2: Atque reprehenderit aliquid,2,20,texto
40,Aula 3: Autem minus eaque a minus,3,17,quiz
40,Aula 4: Veritatis in consequatur reiciendis,4,11,video
40,Aula 5: Reiciendis architecto quis dolorum,5,31,video
40,Aula 6: Impedit eius recusandae,6,24,video
41,Aula 1: Sit dolorum eaque,1,13,texto
41,Aula 2: Doloremque labore eum necessitatibus minus impedit,2,6,quiz
41,Aula 3: Sint fuga suscipit deserunt porro,3,32,video
41,Aula 4: Expedita tempore voluptate,4,44,texto
41,Aula 5: Recusandae vero eaque quo cupiditate dolore,5,40,video
41,Aula 6: Officiis totam aperiam dolorum,6,14,quiz
41,Aula 7: Similique laboriosam reiciendis alias ratione,7,9,video
41,Aula 8: Tempore laboriosam fugiat eaque ratione ducimus,8,20,video
41,Aula 9: Iure totam sit magnam nulla odit,9,24,video
42,Aula 1: Alias repellat numquam libero,1,19,quiz
42,Aula 2: Sapiente dolore alias vitae consequatur,2,8,texto
42,Aula 3: Perferendis unde placeat tempora,3,24,quiz
42,Aula 4: Delectus ipsam iste rem nemo,4,30,texto
42,Aula 5: Nemo corrupti error,5,7,quiz
42,Aula 6: Placeat eaque perferendis,6,8,video
42,Aula 7: Perspiciatis asperiores libero quam odio reiciendis,7,34,video
42,Aula 8: Fugit officiis beatae iusto,8,34,quiz
42,Aula 9: Veniam dolore maxime,9,24,video
42,Aula 10: Consequuntur hic rerum explicabo laudantium beatae,10,33,video
42,Aula 11: In similique tenetur corrupti,11,27,texto
42,Aula 12: Voluptatem fuga ut iure est,12,25,video
42,Aula 13: Omnis asperiores blanditiis exercitationem,13,38,quiz
42,Aula 14: Doloremque nisi nihil sapiente quasi,14,8,quiz
42,Aula 15: Blanditiis quidem quam voluptas,15,27,quiz
43,Aula 1: Similique excepturi possimus,1,16,video
43,Aula 2: Eius aliquam reiciendis nobis ex distinctio,2,13,texto
43,Aula 3: Est ipsa occaecati,3,15,quiz
43,Aula 4: Temporibus excepturi expedita atque,4,28,texto
43,Aula 5: Assumenda optio magni,5,34,video
43,Aula 6: Voluptatibus ipsa saepe,6,26,quiz
43,Aula 7: Earum explicabo quod,7,14,texto
43,Aula 8: Enim itaque tenetur velit,8,17,quiz
43,Aula 9: Id provident sequi libero,9,22,video
43,Aula 10: Culpa saepe inventore,10,12,video
43,Aula 11: Recusandae consequuntur nisi necessitatibus officiis,11,20,video
43,Aula 12: Dignissimos sint sunt soluta minus totam,12,13,quiz
43,Aula 13: Tempore amet occaecati molestias,13,23,video
44,Aula 1: Reprehenderit nobis culpa culpa,1,16,quiz
44,Aula 2: Quisquam omnis aut eaque tenetur,2,18,texto
44,Aula 3: Odio aut aliquid iure facere veniam,3,12,quiz
44,Aula 4: Architecto quo vel explicabo,4,42,quiz
44,Aula 5: Culpa sequi porro quia animi,5,15,texto
44,Aula 6: Corrupti sint voluptatum sequi voluptatum,6,31,texto
44,Aula 7: Odio molestias quos cum maiores ad,7,34,quiz
44,Aula 8: Beatae eaque dignissimos ad repudiandae,8,24,texto
44,Aula 9: Veniam error ipsa vero,9,38,video
44,Aula 10: Illum dolor non perspiciatis,10,36,video
45,Aula 1: Quod accusantium laudantium magnam fuga error,1,14,texto
45,Aula 2: Repudiandae sapiente asperiores,2,17,texto
45,Aula 3: Vel veritatis facere praesentium tempora est,3,38,quiz
45,Aula 4: Ut dolor perferendis perferendis commodi,4,14,video
45,Aula 5: Eaque quas esse occaecati,5,18,texto
45,Aula 6: Doloribus nisi repudiandae dolorum nulla,6,38,quiz
45,Aula 7: Alias adipisci neque impedit,7,30,quiz
45,Aula 8: Odio dolore magnam perspiciatis vel quod,8,32,quiz
45,Aula 9: Amet tempore illo totam exercitationem quas,9,32,video
45,Aula 10: Nobis deleniti debitis libero maiores cupiditate,10,41,texto
45,Aula 11: Quo provident maiores excepturi corrupti,11,37,quiz
45,Aula 12: Quia labore tempora amet beatae aspernatur,12,21,video
46,Aula 1: Aspernatur cum non esse quod reprehenderit,1,20,quiz
46,Aula 2: Excepturi eligendi ullam repellendus,2,15,quiz
46,Aula 3: Numquam optio debitis nisi,3,29,texto
46,Aula 4: Commodi quaerat ex,4,10,video
46,Aula 5: Suscipit expedita iste sit laboriosam,5,20,video
46,Aula 6: Ad mollitia ad,6,36,quiz
46,Aula 7: Ipsam quidem molestias,7,7,video
46,Aula 8: Ad error velit,8,39,texto
46,Aula 9: Dolorum assumenda commodi reiciendis,9,20,video
46,Aula 10: Laborum placeat suscipit optio,10,11,texto
46,Aula 11: Vero cupiditate esse porro unde,11,13,video
46,Aula 12: Optio ex et ratione quasi expedita,12,29,quiz
46,Aula 13: Ex placeat consequatur quasi,13,12,video
47,Aula 1: Iure provident tenetur distinctio praesentium,1,29,quiz
47,Aula 2: Porro ducimus eaque quisquam magnam,2,40,texto
47,Aula 3: Mollitia modi omnis,3,33,texto
47,Aula 4: Qui optio repellat molestias voluptatum,4,33,quiz
47,Aula 5: Repudiandae culpa voluptatem,5,24,texto
