curso_id,titulo,ordem,descricao
19,Módulo 3: Voluptatem,3,Possimus nulla voluptas unde dolorem inventore sed vitae velit mollitia in aut.
19,Módulo 4: Suscipit corporis,4,Commodi pariatur quo quos fuga omnis possimus.
19,Módulo 5: Dolor,5,Nulla iure natus beatae ab ullam perferendis exercitationem deleniti vitae occaecati.
19,Módulo 6: Animi nemo corrupti,6,Distinctio iste officia veniam voluptatem fugit repellat ducimus quo molestias.
20,Módulo 1: Consequuntur numquam,1,Vitae ex fugit blanditiis consequuntur sint at eius nostrum asperiores.
20,Módulo 2: Vero eius neque,2,Nihil saepe ad hic impedit quo nulla.
20,Módulo 3: Dolorum fuga,3,Corrupti incidunt commodi repellat adipisci vero.
20,Módulo 4: Rem sequi suscipit,4,Vero accusamus hic eius consequatur aspernatur quia incidunt.
20,Módulo 5: Quis,5,Nobis nam dolores enim molestiae quod eligendi deleniti.
20,Módulo 6: Laboriosam sit neque corrupti,6,Eum natus blanditiis quod tempore consequuntur natus minus.
20,Módulo 7: Maiores voluptates odit,7,Esse aperiam eum nisi consectetur maxime deserunt nobis maxime sed.
21,Módulo 1: Sit dolorem,1,Iusto enim iusto odit at laudantium in tempora.
21,Módulo 2: Labore iusto fugit,2,Hic quas ad laboriosam harum molestiae cupiditate magnam perspiciatis eos.
21,Módulo 3: Voluptatem rem,3,Iste mollitia cupiditate ut inventore beatae soluta quis veritatis ratione debitis amet omnis.
21,Módulo 4: Voluptatum rerum,4,Quasi ullam sunt distinctio natus voluptas.
22,Módulo 1: Aperiam eum totam,1,Officia quod excepturi ad beatae aut quae inventore aut.
22,Módulo 2: Sapiente mollitia,2,Quos minus fugit accusantium saepe quis atque alias rem fugiat illum.
22,Módulo 3: Esse illum,3,Officia cumque numquam dolore culpa delectus asperiores ipsam.
22,Módulo 4: Commodi incidunt in,4,Suscipit unde magni inventore numquam illum error quaerat totam corporis distinctio reprehenderit deleniti.
22,Módulo 5: Possimus nesciunt,5,Nulla in eum veniam adipisci omnis sint corporis alias quisquam quo hic.
22,Módulo 6: Voluptates blanditiis,6,Sed sequi expedita reprehenderit aliquam nesciunt repellendus officia itaque fugiat magnam.
22,Módulo 7: Dolores voluptatem a,7,Aperiam sed quidem enim dignissimos dolorem dolorem.
23,Módulo 1: Fuga voluptate,1,Eaque magni necessitatibus consequuntur voluptas quos eos atque.
23,Módulo 2: Accusantium consequuntur,2,Officiis a ipsa dolore culpa quasi facilis.
23,Módulo 3: Placeat asperiores,3,Nulla veniam non aut iusto veritatis alias asperiores enim.
23,Módulo 4: Ducimus repudiandae,4,Nam ut vel nisi voluptatibus repudiandae dignissimos tempore commodi animi.
23,Módulo 5: Vero totam maiores aliquam,5,Sit harum molestiae iusto blanditiis quos aut totam in odit rem laborum.
24,Módulo 1: Inventore,1,Sint illo quod doloribus accusantium expedita autem similique doloremque.
24,Módulo 2: Odio,2,Dolore magni pariatur quidem dicta dolor voluptatibus alias reprehenderit quisquam similique labore inventore ullam.
24,Módulo 3: Quos asperiores,3,Minima neque hic doloremque at cum soluta corporis recusandae incidunt.
24,Módulo 4: Nesciunt non,4,Nisi itaque quae repellat consequatur facilis maiores sit nihil enim quasi.
25,Módulo 1: Cum facilis blanditiis,1,Consequuntur dolor eos dicta sint unde aliquam esse.
25,Módulo 2: Suscipit veritatis,2,Odit adipisci quo incidunt quos enim deserunt.
25,Módulo 3: Tempore dolore dignissimos,3,Labore temporibus deserunt assumenda animi modi consequuntur doloremque incidunt quibusdam tempore cupiditate voluptatum.
25,Módulo 4: Minus magni culpa,4,Non quia alias suscipit vitae voluptatibus libero eum dolorum vero architecto ut quod.
25,Módulo 5: Iusto sit vel,5,Commodi dolorum ullam cum dignissimos incidunt iusto cupiditate quod atque consequatur amet tempore.
25,Módulo 6: Enim voluptas,6,Molestias natus sequi necessitatibus in asperiores provident corrupti.
25,Módulo 7: Rerum consequatur molestias,7,Nesciunt placeat nesciunt dolore quidem exercitationem laudantium alias doloremque esse.
25,Módulo 8: Hic necessitatibus,8,Pariatur alias corporis repellendus tenetur unde.
26,Módulo 1: Ullam corporis,1,Magni autem ex esse aut soluta facere doloremque velit.
26,Módulo 2: Occaecati nisi possimus,2,Amet mollitia laboriosam accusamus magnam totam dolorem.
26,Módulo 3: Dolore,3,Accusamus voluptatum magnam cum laboriosam possimus nostrum voluptatibus.
26,Módulo 4: Nostrum error ullam,4,Eius quas iste enim quaerat blanditiis non doloribus.
26,Módulo 5: Optio at,5,Aspernatur odio nihil quis excepturi expedita saepe.
26,Módulo 6: Praesentium error dignissimos,6,Facere modi porro deserunt et corporis unde facere ducimus nam ipsa.
26,Módulo 7: Ipsa eum,7,Optio aspernatur quasi ab accusamus voluptates aliquam vel recusandae deserunt.
27,Módulo 1: Eos molestiae veritatis,1,In provident eveniet veniam alias nihil occaecati.
27,Módulo 2: Quod enim,2,Fugiat maxime saepe sint labore praesentium.
27,Módulo 3: Dolor ipsa,3,In laboriosam ipsa aut nisi asperiores aut modi numquam libero ipsa sequi deleniti.
27,Módulo 4: Vel quam,4,Error enim quo dolorum aperiam ipsam iusto.
27,Módulo 5: Saepe iste numquam,5,Consectetur repudiandae delectus natus perferendis dolor reprehenderit nisi.
27,Módulo 6: Temporibus amet optio,6,Cupiditate eveniet odit deleniti nam id quo repellat omnis nostrum dolorum aspernatur cum.
27,Módulo 7: Ratione magni,7,Rem dolorum enim similique velit eveniet perferendis eum reprehenderit soluta laudantium quam.
28,Módulo 1: Necessitatibus incidunt praesentium necessitatibus,1,Vitae occaecati culpa voluptas assumenda dolore tempore hic.
28,Módulo 2: Quaerat dignissimos,2,Inventore omnis suscipit possimus tenetur earum necessitatibus tenetur incidunt.
28,Módulo 3: Placeat,3,Magni enim unde adipisci maxime enim reiciendis veniam ipsa ipsam voluptates voluptates.
28,Módulo 4: Voluptatem voluptatem,4,Doloribus sapiente nesciunt blanditiis molestias iusto id officiis soluta ex distinctio sint dolorem.
28,Módulo 5: Eos,5,Culpa eos veniam saepe ab quas velit quas.
28,Módulo 6: Iusto,6,Doloremque unde esse quisquam rerum assumenda cupiditate nobis animi vero sequi rem voluptatibus.
28,Módulo 7: Pariatur debitis,7,Minima quidem ab quisquam natus unde eius soluta esse.
28,Módulo 8: Unde velit,8,Nihil id officiis enim consequuntur recusandae quasi id ullam eveniet reiciendis.
29,Módulo 1: Quod rem,1,Dolorem molestiae consectetur asperiores facilis beatae repellendus ipsa assumenda.
29,Módulo 2: Corrupti ad,2,Animi voluptates magni quaerat officia ab vero possimus aperiam quidem eum nisi.
29,Módulo 3: Quam similique,3,Dolor dolores facilis nesciunt voluptatum laudantium velit.
29,Módulo 4: Alias dolorum,4,Laboriosam itaque itaque nemo maxime voluptas.
29,Módulo 5: Rem eos modi,5,Commodi quisquam sint sapiente voluptatem magni dignissimos earum iure doloremque facilis.
29,Módulo 6: Sapiente soluta,6,Accusantium provident nemo sapiente odit quo.
29,Módulo 7: In,7,Illo blanditiis perspiciatis facilis corporis excepturi error dolorum necessitatibus nemo cupiditate officiis.
30,Módulo 1: Sunt aperiam voluptates ea,1,Nobis incidunt illum accusantium odit a eveniet ex.
30,Módulo 2: Qui reiciendis,2,Dolorum minus illo adipisci ex harum mollitia dignissimos maxime perferendis voluptatem praesentium.
30,Módulo 3: Vitae rem ratione,3,Quia aliquid sed repellendus non nisi.
30,Módulo 4: Totam autem recusandae,4,Et a ducimus provident quisquam placeat ducimus nam delectus.
30,Módulo 5: Totam veritatis molestiae possimus,5,Repellat similique rerum nihil numquam quasi vitae.
31,Módulo 1: Nostrum consectetur,1,Iure ipsa itaque dolore culpa fugit voluptates unde totam.
31,Módulo 2: Est eos sapiente,2,Ea impedit dolores tempora accusantium praesentium impedit.
31,Módulo 3: Accusamus dolorum,3,Ipsum hic repellat blanditiis magni culpa quis dignissimos cumque.
31,Módulo 4: Tempore doloribus fuga,4,Quae ea eum nisi pariatur iusto similique consequatur.
31,Módulo 5: Pariatur facilis,5,Cupiditate asperiores soluta iusto omnis consequuntur.
31,Módulo 6: Voluptas placeat repellendus,6,Laborum ea a alias maiores odit excepturi excepturi voluptatem officia.
31,Módulo 7: Sint aperiam dolorum,7,Exercitationem molestias voluptatem placeat quibusdam iusto doloribus accusamus.
32,Módulo 1: Consequatur eos,1,Laborum consequuntur expedita deserunt quos et deserunt odit itaque placeat.
32,Módulo 2: Dolore,2,Fugit delectus eos quam cum qui laudantium veritatis iusto.
32,Módulo 3: Eaque fugit praesentium,3,Temporibus cum sit tempora quae sequi eligendi explicabo ea odio neque pariatur consequatur.
32,Módulo 4: Fugiat at provident,4,Placeat eligendi saepe eius vel necessitatibus totam temporibus.
32,Módulo 5: Aut voluptate,5,Sapiente magni at quo recusandae nisi.
32,Módulo 6: Sequi ab,6,Alias repellendus explicabo soluta perferendis magnam suscipit esse magni voluptatibus nihil iusto incidunt.
32,Módulo 7: Asperiores,7,Fugit veniam neque molestiae adipisci eius aliquid explicabo neque quidem saepe.
33,Módulo 1: Enim quaerat,1,Cumque id pariatur iusto nesciunt libero velit tempore eum dolore maxime.
33,Módulo 2: Porro ullam necessitatibus,2,Atque quae aliquam beatae nobis corrupti aliquid officia vel.
33,Módulo 3: Et ipsam,3,Aspernatur nihil delectus quis eum magnam.
33,Módulo 4: Dolore provident,4,Dolore soluta rerum consequuntur occaecati possimus nostrum fugiat facere autem.
33,Módulo 5: Fugiat ratione,5,Ex sed magnam unde omnis tempore hic inventore necessitatibus labore porro inventore.
33,Módulo 6: Numquam perferendis nam veritatis,6,Accusamus velit ea saepe neque explicabo explicabo explicabo.
33,Módulo 7: Optio magni ducimus,7,Reiciendis occaecati velit pariatur officiis et voluptatum quod eveniet.
33,Módulo 8: Non distinctio ipsa,8,Laborum illum iure distinctio aliquid saepe quisquam.
34,Módulo 1: Animi quisquam non voluptatum,1,Harum cupiditate molestiae doloribus illo molestias fuga praesentium quia veritatis aperiam.
34,Módulo 2: Expedita nobis,2,Placeat adipisci cupiditate fuga voluptates sunt eveniet perferendis doloribus.
34,Módulo 3: Suscipit quidem laudantium,3,Natus quam esse non voluptatibus molestias dicta accusantium architecto eligendi saepe unde deleniti.
34,Módulo 4: Iusto corporis libero,4,Occaecati minima fugit omnis quasi facilis saepe laudantium in.
34,Módulo 5: Ratione similique exercitationem,5,Enim est odit atque non eligendi.
34,Módulo 6: Facere molestiae,6,Maxime qui suscipit qui odio debitis magnam.
35,Módulo 1: Repellat magnam,1,Ut at libero dolorum explicabo earum cumque alias incidunt.
35,Módulo 2: Dolorum odit,2,Quisquam delectus amet quo rerum quia.
35,Módulo 3: Itaque porro,3,Officia labore magni mollitia quia recusandae rem quibusdam veritatis atque debitis praesentium error.
35,Módulo 4: Quis cum ad,4,Libero illo eveniet dicta maiores magni quibusdam quis excepturi eligendi laudantium suscipit error.
36,Módulo 1: Adipisci optio temporibus,1,Earum nostrum amet enim quisquam quis sequi tenetur cupiditate ipsum facere.
36,Módulo 2: Distinctio,2,Corrupti possimus sequi aspernatur autem sit quisquam eaque rem itaque impedit illum.
36,Módulo 3: Sint quia,3,Natus ipsa perspiciatis nesciunt reprehenderit recusandae veritatis.
37,Módulo 1: Quas,1,Labore eos eum illum quas a maiores debitis rem vero iste.
37,Módulo 2: Praesentium beatae beatae corrupti,2,Natus earum esse eveniet harum recusandae ipsam.
37,Módulo 3: Veritatis illo expedita,3,Non quis odio doloribus delectus odio eos delectus.
37,Módulo 4: Maxime quis,4,Dolore sapiente ut harum nesciunt sapiente ad animi animi earum.
38,Módulo 1: Autem totam,1,Aperiam enim impedit nulla reiciendis pariatur sit quod illo voluptas quis.
38,Módulo 2: Fugit similique,2,Corrupti nostrum voluptates quod nam nihil reprehenderit distinctio autem dignissimos reiciendis quae.
38,Módulo 3: Dolores minima nulla,3,Eos animi omnis repudiandae vitae quisquam sapiente neque totam eveniet libero molestias.
38,Módulo 4: Est autem provident tempora,4,Est mollitia rem cum delectus nesciunt illum dicta aut.
38,Módulo 5: Consequuntur veniam sunt,5,Autem esse suscipit sit totam maxime est eveniet blanditiis inventore enim.
38,Módulo 6: Dignissimos maxime,6,Exercitationem nam sequi non commodi veritatis nostrum error nemo officia quam.
38,Módulo 7: Error tempora,7,Culpa earum veritatis quos itaque dolorum ab.
39,Módulo 1: Quas facere illum,1,Tempora nam perferendis aspernatur praesentium cum vel perspiciatis distinctio.
39,Módulo 2: Excepturi ullam,2,Odio corrupti facilis necessitatibus itaque illo debitis odio earum quis illum mollitia.
39,Módulo 3: Repellat quia,3,Distinctio voluptatum accusantium delectus ipsa architecto explicabo delectus error deserunt.
39,Módulo 4: Blanditiis magnam recusandae,4,Culpa quia praesentium aliquid qui praesentium adipisci sequi in ipsa.
40,Módulo 1: Magnam dignissimos,1,Animi harum dolorum animi cupiditate officiis optio magnam.
40,Módulo 2: Commodi dolore,2,Officia provident commodi maxime quidem dicta dignissimos modi illum dicta quia.
40,Módulo 3: Reiciendis consequuntur,3,Dolore officiis officiis molestiae inventore ratione architecto aliquid.
40,Módulo 4: Ipsum repudiandae non,4,Modi inventore ullam vitae numquam veniam eaque similique dolorum atque.
40,Módulo 5: Porro saepe delectus,5,Aspernatur incidunt aliquam laboriosam ad suscipit nostrum ab minima aut ab numquam.
41,Módulo 1: Ipsa ea,1,Ullam amet et tenetur ut dolore perspiciatis.
41,Módulo 2: Sint,2,Labore sit amet impedit at quis dolor cumque placeat.
41,Módulo 3: Assumenda libero,3,Ut aliquam omnis ab doloribus repellat architecto iure maiores aut accusamus alias reiciendis.
41,Módulo 4: Voluptas ut,4,Quasi incidunt consectetur voluptas quisquam eius.
41,Módulo 5: Itaque ab,5,Libero corporis fugiat quo ratione dignissimos beatae officia ex.
41,Módulo 6: In voluptates,6,Molestias voluptates rerum animi placeat dolore rem placeat aspernatur praesentium sequi.
41,Módulo 7: Cupiditate ipsum sunt,7,Minus incidunt odit tempora illo voluptatibus deleniti facilis.
41,Módulo 8: Non adipisci exercitationem molestias,8,Sunt eius ut facilis occaecati inventore inventore velit delectus minus dolor explicabo voluptates.
42,Módulo 1: Soluta repellat consequatur,1,Sapiente quam soluta cumque officiis amet exercitationem.
42,Módulo 2: Autem ipsa iusto,2,Accusantium aspernatur vitae corporis similique nam dolore itaque nisi voluptates.
42,Módulo 3: Odit porro recusandae,3,Sit quis aliquid explicabo ea doloremque fuga sit iste officiis placeat soluta veritatis.
42,Módulo 4: Saepe,4,Adipisci laborum odio ipsam quia recusandae sit aperiam voluptas aliquid.
42,Módulo 5: Amet enim quia,5,Unde quibusdam cupiditate exercitationem assumenda quam ducimus molestias animi sed officiis nulla sapiente.
42,Módulo 6: Neque eos,6,Cum minus nulla sint deserunt aut labore commodi.
42,Módulo 7: Eligendi fuga quam,7,Minima minima quo et totam mollitia.
43,Módulo 1: Odio totam aliquam,1,Nesciunt suscipit voluptatum quibusdam iure laboriosam corporis cumque quaerat.
43,Módulo 2: Iure fuga ex,2,Laudantium at esse fugit praesentium qui earum veritatis.
43,Módulo 3: Laudantium aliquam,3,Quis non ratione id animi optio.
43,Módulo 4: Perspiciatis tempore,4,Quas dignissimos explicabo ipsa cupiditate eligendi.
43,Módulo 5: Nihil doloribus,5,Qui voluptatem optio veniam earum quia atque illum alias.
44,Módulo 1: Quo consequatur,1,Iste dolorum praesentium doloremque pariatur delectus occaecati architecto provident.
44,Módulo 2: Nulla aliquam incidunt,2,Nostrum occaecati dolor est minus maiores praesentium provident.
44,Módulo 3: Debitis consequuntur,3,Numquam eligendi autem aliquid neque amet nihil.
45,Módulo 1: Assumenda reprehenderit reprehenderit animi,1,Consectetur iste esse explicabo exercitationem ipsum maxime.
45,Módulo 2: Temporibus ratione repudiandae,2,Provident itaque porro accusantium numquam totam quod aspernatur consectetur.
45,Módulo 3: Optio assumenda exercitationem consequuntur,3,Iure asperiores magnam laudantium fugit cum deserunt ea vel.
45,Módulo 4: At temporibus rem,4,Ut alias voluptatibus sint mollitia laboriosam nobis quisquam.
45,Módulo 5: Repudiandae doloremque nesciunt,5,Eius cupiditate numquam minus aliquam quaerat.
46,Módulo 1: Asperiores a,1,Voluptate voluptates sit provident aliquid commodi iusto veniam.
46,Módulo 2: Praesentium quo aliquam vel,2,Atque eos eaque magnam explicabo animi inventore molestiae explicabo dolor adipisci alias amet.
46,Módulo 3: Minus facilis expedita,3,Est atque sed dolore nobis illo numquam facere aperiam culpa.
46,Módulo 4: Eos quidem,4,Ut eaque deserunt odio numquam enim fuga exercitationem soluta officiis maxime est.
