aluno_id,curso_id,data_matricula,data_conclusao,status
69,21,2024-01-04,,ativa
13,45,2024-09-28,,cancelada
6,33,2025-02-13,,ativa
47,17,2024-05-21,2024-09-19,concluida
8,35,2024-08-18,2024-11-09,concluida
55,9,2025-01-11,,ativa
38,42,2025-07-17,,pendente
44,10,2024-10-21,2025-09-25,concluida
80,9,2024-02-27,,cancelada
85,9,2024-10-17,,pendente
7,30,2024-06-10,2024-07-01,concluida
47,36,2025-03-05,,ativa
57,34,2025-04-05,,cancelada
67,5,2025-08-06,,pendente
97,42,2025-02-02,,ativa
44,7,2024-11-01,2025-01-20,concluida
18,28,2024-04-23,,pendente
94,28,2024-02-08,2024-05-06,concluida
95,13,2025-04-28,2025-08-23,concluida
56,20,2025-04-19,,ativa
96,17,2024-06-08,,pendente
38,14,2023-12-09,,ativa
66,1,2023-11-09,,pendente
54,14,2024-05-08,2025-06-15,concluida
21,16,2024-01-03,,cancelada
91,25,2024-03-09,,cancelada
36,5,2024-04-02,2025-09-10,concluida
74,27,2025-04-10,,ativa
33,28,2025-03-07,2025-06-29,concluida
24,26,2024-04-12,,pendente
78,42,2023-11-24,,cancelada
22,29,2024-03-09,,cancelada
73,11,2024-05-15,2025-10-06,concluida
1,28,2024-12-13,,cancelada
6,21,2025-04-24,,ativa
9,6,2025-05-07,,cancelada
100,41,2024-07-03,2024-12-22,concluida
70,30,2025-05-05,2025-10-12,concluida
73,17,2025-07-30,,cancelada
21,23,2024-02-15,,pendente
23,3,2024-12-05,2025-01-07,concluida
60,18,2024-01-18,,pendente
7,16,2023-12-29,,pendente
35,24,2025-05-06,,ativa
3,6,2025-03-10,,cancelada
74,34,2024-04-11,,cancelada
18,23,2024-02-08,,pendente
49,32,2025-06-17,2025-07-11,concluida
28,28,2024-10-25,,ativa
40,5,2024-02-11,,ativa
